😀  grinning (grinning face)
🎏  carp streamer
🎐  wind chime
🎑  moon viewing ceremony
🎒  school satchel
🎓  graduation cap
🎔  heart with tip on the left
🎕  bouquet of flowers
🎖  military medal
🎗  reminder ribbon
🎘  musical keyboard with jacks
🎙  studio microphone
🎚  level slider
🎛  control knobs
🎜  beamed ascending musical notes
🎝  beamed descending musical notes
🎞  film frames
🎟  admission tickets
🎠  carousel horse
🎡  ferris wheel
🎢  roller coaster
🎣  fishing pole and fish
🎤  microphone (microphone)
🎥  movie camera
🎦  cinema
🎧  headphones (headphone)
🎨  artist palette
🎩  top hat
🎪  circus tent
🎫  ticket
🎬  clapper board
🎭  performing arts
🎮  controller (video game)
🎯  darts (direct hit)
🎰  slot machine
🎱  billiards
🎲  dice (game die)
🎳  bowling (bowling)
🎴  flower playing cards
🎵  music note (musical note)
🎶  music notes (multiple musical notes)
🎷  saxophone
🎸  guitar (guitar)
🎹  piano (musical keyboard)
🎺  trumpet
🎻  violin
🎼  musical score
🎽  running shirt with sash
🎾  sport (tennis racquet and ball)
🎿  ski and ski boot
🏀  basketball (basketball and hoop)
🏁  chequered flag
🏂  snowboarder
🏃  running (runner)
🏄  surfer
🏅  sports medal
🏆  trophy (trophy)
🏇  horse racing
🏈  football (american football)
🏉  rugby football
🏊  swimmer (swimmer)
🏋  weightlifter (weight lifter)
🏌  golfer
🏍  racing motorcycle
🏎  racing car
🏏  cricket bat and ball
🏐  sport (volleyball)
🏑  field hockey stick and ball
🏒  ice hockey stick and puck
🏓  ping pong (table tennis paddle and ball)
🏔  snow mountain (snow capped mountain)
🏕  camping
🏖  beach (beach with umbrella)
🏗  building construction
🏘  house buildings
🏙  cityscape
🏚  derelict house building
🏛  classical building
🏜  desert
🏝  desert island
🏞  national park
🏟  stadium
🏠  home (house building)
🏡  home (house with garden)
🏢  office building
🏣  japanese post office
🏤  european post office
🏥  hospital
🏦  bank
🏧  automated teller machine
🏨  hotel
🏩  love hotel
🏪  convenience store
🏫  school
🏬  department store
🏭  factory
🏮  izakaya lantern
🏯  japanese castle
🏰  european castle
🏱  white pennant
🏲  black pennant
🏳  waving white flag
🏴  waving black flag
🏵  rosette
🏶  black rosette
🏷  label
🏸  badminton racquet and shuttlecock
🏹  bow and arrow
🏺  amphora
🏻  emoji modifier fitzpatrick type-1-2
🏼  emoji modifier fitzpatrick type-3
🏽  emoji modifier fitzpatrick type-4
🏾  emoji modifier fitzpatrick type-5
🏿  emoji modifier fitzpatrick type-6
🐀  rat
🐁  mouse
🐂  ox
🐃  water buffalo
🐄  cow (cow)
🐅  tiger
🐆  leopard
🐇  rabbit
🐈  cat
🐉  dragon (dragon)
🐊  crocodile (crocodile)
🐋  whale
🐌  snail (snail)
🐍  snake (snake)
🐎  horse (horse)
🐏  ram
🐐  goat
🐑  sheep (sheep)
🐒  monkey
🐓  rooster
🐔  chicken (chicken)
🐕  dog (dog)
🐖  pig
🐗  boar
🐘  elephant (elephant)
🐙  octopus (octopus)
🐚  spiral shell
🐛  bug
🐜  ant (ant)
🐝  bee (honeybee)
🐞  ladybug (lady beetle)
🐟  fish (fish)
🐠  colorful (tropical fish)
🐡  blowfish
🐢  turtle (turtle)
🐣  hatching chick
🐤  baby chick (baby chick)
🐥  front-facing baby chick
🐦  fly (bird)
🐧  penguin (penguin)
🐨  koala (koala)
🐩  poodle
🐪  camel (dromedary camel)
🐫  two-hump camel (bactrian camel)
🐬  dolphin (dolphin)
🐭  mouse face (mouse face)
🐮  cow face (cow face)
🐯  tiger (tiger face)
🐰  rabbit (rabbit face)
🐱  cat face
🐲  dragon face (dragon face)
🐳  whale (spouting whale)
🐴  horse face (horse face)
🐵  banana (monkey face)
🐶  puppy (dog face)
🐷  pig face (pig face)
🐸  frog (frog face)
🐹  hamster (hamster face)
🐺  wolf (wolf face)
🐻  bear (bear face)
🐼  panda (panda face)
🐽  pig nose
🐾  paw prints
🐿  chipmunk (chipmunk)
👀  eyes (eyes)
👁  eye (eye)
👂  ear (ear)
👃  nose (nose)
👄  lips (mouth)
👅  tongue (tongue)
👆  pointing up (white up pointing backhand index)
👇  pointing down (white down pointing backhand index)
👈  pointing left (white left pointing backhand index)
👉  pointing right (white right pointing backhand index)
👊  punch (fisted hand sign)
👋  wave (waving hand sign)
👌  ok (ok hand sign)
👍  thumbs up (thumbs up sign)
