😀  grinning (grinning face)
🧎  kneeling person
🧏  deaf person
🧐  face with monocle
🧑  adult
🧒  child
🧓  older adult
🧔  bearded person
🧕  person with headscarf
🧖  sauna (person in steamy room)
🧗  climbing (person climbing)
🧘  person in lotus position
🧙  wizard (mage)
🧚  fairy
🧛  vampire (vampire)
🧜  merperson
🧝  elf (elf)
🧞  genie (genie)
🧟  zombie (zombie)
🧠  brain (brain)
🧡  orange heart
🧢  billed cap
🧣  scarf
🧤  gloves
🧥  coat
🧦  socks
🧧  red gift envelope
🧨  firecracker
🧩  jigsaw puzzle piece
🧪  test tube
🧫  petri dish
🧬  dna double helix
🧭  compass
🧮  abacus
🧯  fire extinguisher
🧰  toolbox
🧱  brick
🧲  magnet
🧳  luggage
🧴  lotion bottle
🧵  spool of thread
🧶  ball of yarn
🧷  safety pin
🧸  teddy bear
🧹  broom
🧺  basket
🧻  roll of paper
🧼  bar of soap
🧽  sponge
🧾  receipt
🧿  nazar amulet
🨀  neutral chess king
🨁  neutral chess queen
🨂  neutral chess rook
🨃  neutral chess bishop
🨄  neutral chess knight
🨅  neutral chess pawn
🨆  white chess knight rotated forty-five degrees
🨇  black chess knight rotated forty-five degrees
🨈  neutral chess knight rotated forty-five degrees
🨉  white chess king rotated ninety degrees
🨊  white chess queen rotated ninety degrees
🨋  white chess rook rotated ninety degrees
🨌  white chess bishop rotated ninety degrees
🨍  white chess knight rotated ninety degrees
🨎  white chess pawn rotated ninety degrees
🨏  black chess king rotated ninety degrees
🨐  black chess queen rotated ninety degrees
🨑  black chess rook rotated ninety degrees
🨒  black chess bishop rotated ninety degrees
🨓  black chess knight rotated ninety degrees
🨔  black chess pawn rotated ninety degrees
🨕  neutral chess king rotated ninety degrees
🨖  neutral chess queen rotated ninety degrees
🨗  neutral chess rook rotated ninety degrees
🨘  neutral chess bishop rotated ninety degrees
🨙  neutral chess knight rotated ninety degrees
🨚  neutral chess pawn rotated ninety degrees
🨛  white chess knight rotated one hundred thirty-five degrees
🨜  black chess knight rotated one hundred thirty-five degrees
🨝  neutral chess knight rotated one hundred thirty-five degrees
🨞  white chess turned king
🨟  white chess turned queen
🨠  white chess turned rook
🨡  white chess turned bishop
🨢  white chess turned knight
🨣  white chess turned pawn
🨤  black chess turned king
🨥  black chess turned queen
🨦  black chess turned rook
🨧  black chess turned bishop
🨨  black chess turned knight
🨩  black chess turned pawn
🨪  neutral chess turned king
🨫  neutral chess turned queen
🨬  neutral chess turned rook
🨭  neutral chess turned bishop
🨮  neutral chess turned knight
🨯  neutral chess turned pawn
🨰  white chess knight rotated two hundred twenty-five degrees
🨱  black chess knight rotated two hundred twenty-five degrees
🨲  neutral chess knight rotated two hundred twenty-five degrees
🨳  white chess king rotated two hundred seventy degrees
🨴  white chess queen rotated two hundred seventy degrees
🨵  white chess rook rotated two hundred seventy degrees
🨶  white chess bishop rotated two hundred seventy degrees
🨷  white chess knight rotated two hundred seventy degrees
🨸  white chess pawn rotated two hundred seventy degrees
🨹  black chess king rotated two hundred seventy degrees
🨺  black chess queen rotated two hundred seventy degrees
🨻  black chess rook rotated two hundred seventy degrees
🨼  black chess bishop rotated two hundred seventy degrees
🨽  black chess knight rotated two hundred seventy degrees
🨾  black chess pawn rotated two hundred seventy degrees
🨿  neutral chess king rotated two hundred seventy degrees
🩀  neutral chess queen rotated two hundred seventy degrees
🩁  neutral chess rook rotated two hundred seventy degrees
🩂  neutral chess bishop rotated two hundred seventy degrees
🩃  neutral chess knight rotated two hundred seventy degrees
🩄  neutral chess pawn rotated two hundred seventy degrees
🩅  white chess knight rotated three hundred fifteen degrees
🩆  black chess knight rotated three hundred fifteen degrees
🩇  neutral chess knight rotated three hundred fifteen degrees
🩈  white chess equihopper
🩉  black chess equihopper
🩊  neutral chess equihopper
🩋  white chess equihopper rotated ninety degrees
🩌  black chess equihopper rotated ninety degrees
🩍  neutral chess equihopper rotated ninety degrees
🩎  white chess knight-queen
🩏  white chess knight-rook
🩐  white chess knight-bishop
🩑  black chess knight-queen
🩒  black chess knight-rook
🩓  black chess knight-bishop
🩠  xiangqi red general
🩡  xiangqi red mandarin
🩢  xiangqi red elephant
🩣  xiangqi red horse
🩤  xiangqi red chariot
🩥  xiangqi red cannon
🩦  xiangqi red soldier
🩧  xiangqi black general
🩨  xiangqi black mandarin
🩩  xiangqi black elephant
🩪  xiangqi black horse
🩫  xiangqi black chariot
🩬  xiangqi black cannon
🩭  xiangqi black soldier
🩰  ballet shoes
🩱  one-piece swimsuit
🩲  briefs
🩳  shorts
🩴  thong sandal
🩸  drop of blood
🩹  adhesive bandage
🩺  stethoscope
🪀  yo-yo
🪁  kite
🪂  parachute
🪃  boomerang
🪄  magic wand
🪅  pinata
🪆  nesting dolls
🪐  ringed planet
🪑  chair
🪒  razor
🪓  axe
🪔  diya lamp
🪕  banjo
🪖  military helmet
🪗  accordion
🪘  long drum
🪙  coin
🪚  carpentry saw
🪛  screwdriver
🪜  ladder
🪝  hook
🪞  mirror
🪟  window
🪠  plunger
🪡  sewing needle
🪢  knot
🪣  bucket
🪤  mouse trap
🪥  toothbrush
🪦  headstone
🪧  placard
🪨  rock
🪰  fly
🪱  worm
🪲  beetle
🪳  cockroach
🪴  potted plant
🪵  wood
🪶  feather
🫀  anatomical heart
🫁  lungs
🫂  people hugging
🫐  blueberries
🫑  bell pepper
🫒  olive
🫓  flatbread
🫔  tamale
🫕  fondue
🫖  teapot
☀  sunny (black sun with rays)
☁  cloud
☂  umbrella
☃  snowman (snowman)
☄  comet
★  black star
☆  white star
☇  lightning
☈  thunderstorm
☉  sun
☊  ascending node
☋  descending node
☌  conjunction
☍  opposition
☎  black telephone
☏  white telephone
☐  ballot box
☑  ballot box with check
☒  ballot box with x
☓  saltire
☔  umbrella with rain drops
☕  coffee (hot beverage)
☖  white shogi piece
☗  black shogi piece
☘  shamrock
☙  reversed rotated floral heart bullet
☚  black left pointing index
☛  black right pointing index
☜  white left pointing index
☝  pointing up (white up pointing index)
☞  white right pointing index
☟  white down pointing index
☠  skull and crossbones
☡  caution sign
☢  radioactive sign
☣  biohazard sign
☤  caduceus
☥  ankh
☦  orthodox cross
☧  chi rho
☨  cross of lorraine
☩  cross of jerusalem
☪  star and crescent
☫  farsi symbol
☬  adi shakti
☭  hammer and sickle
☮  peace symbol
☯  yin yang
☰  trigram for heaven
☱  trigram for lake
☲  trigram for fire
☳  trigram for thunder
☴  trigram for wind
☵  trigram for water
☶  trigram for mountain
☷  trigram for earth
☸  wheel of dharma
☹  white frowning face
☺  white smiling face
☻  black smiling face
☼  white sun with rays
☽  first quarter moon
☾  last quarter moon
☿  mercury
♀  female sign
♁  earth
♂  male sign
♃  jupiter
♄  saturn
♅  uranus
♆  neptune
♇  pluto
♈  aries
♉  taurus
♊  gemini
♋  cancer
♌  leo
♍  virgo
♎  libra
♏  scorpius
♐  sagittarius
♑  capricorn
♒  aquarius
♓  pisces
♔  white chess king
♕  white chess queen
♖  white chess rook
♗  white chess bishop
♘  white chess knight
♙  white chess pawn
♚  black chess king
♛  black chess queen
♜  black chess rook
♝  black chess bishop
♞  black chess knight
♟  chess pawn (black chess pawn)
♠  black spade suit
♡  white heart suit
♢  white diamond suit
♣  black club suit
♤  white spade suit
♥  black heart suit
♦  black diamond suit
♧  white club suit
♨  hot springs
♩  quarter note
♪  eighth note
♫  beamed eighth notes
♬  beamed sixteenth notes
♭  music flat sign
♮  music natural sign
♯  music sharp sign
♰  west syriac cross
♱  east syriac cross
♲  universal recycling symbol
♳  recycling symbol for type-1 plastics
♴  recycling symbol for type-2 plastics
♵  recycling symbol for type-3 plastics
♶  recycling symbol for type-4 plastics
♷  recycling symbol for type-5 plastics
♸  recycling symbol for type-6 plastics
♹  recycling symbol for type-7 plastics
♺  recycling symbol for generic materials
♻  black universal recycling symbol
♼  recycled paper symbol
♽  partially-recycled paper symbol
♾  permanent paper sign
♿  wheelchair symbol
⚀  die face-1
⚁  die face-2
⚂  die face-3
⚃  die face-4
⚄  die face-5
⚅  die face-6
⚆  white circle with dot right
⚇  white circle with two dots
⚈  black circle with white dot right
⚉  black circle with two white dots
⚊  monogram for yang
⚋  monogram for yin
⚌  digram for greater yang
⚍  digram for lesser yin
⚎  digram for lesser yang
⚏  digram for greater yin
⚐  white flag
⚑  black flag
⚒  hammer and pick
⚓  anchor
⚔  crossed swords
⚕  staff of aesculapius
⚖  scales
⚗  alembic
⚘  flower
⚙  gear
⚚  staff of hermes
⚛  atom symbol
⚜  fleur-de-lis
⚝  outlined white star
⚞  three lines converging right
⚟  three lines converging left
⚠  warning (warning sign)
⚡  lightning (high voltage sign)
⚢  doubled female sign
⚣  doubled male sign
⚤  interlocked female and male sign
⚥  male and female sign
⚦  male with stroke sign
⚧  male with stroke and male and female sign
⚨  vertical male with stroke sign
⚩  horizontal male with stroke sign
⚪  medium white circle
⚫  medium black circle
⚬  medium small white circle
⚭  marriage symbol
⚮  divorce symbol
⚯  unmarried partnership symbol
⚰  coffin
⚱  funeral urn
⚲  neuter
⚳  ceres
⚴  pallas
⚵  juno
⚶  vesta
⚷  chiron
⚸  black moon lilith
⚹  sextile
⚺  semisextile
⚻  quincunx
⚼  sesquiquadrate
⚽  soccer (soccer ball)
⚾  baseball (baseball)
⚿  squared key
⛀  white draughts man
⛁  white draughts king
⛂  black draughts man
⛃  black draughts king
⛄  snowman (snowman without snow)
⛅  partly cloudy (sun behind cloud)
⛆  rain
⛇  black snowman
⛈  thunderstorm (thunder cloud and rain)
⛉  turned white shogi piece
⛊  turned black shogi piece
⛋  white diamond in square
⛌  crossing lanes
⛍  disabled car
⛎  ophiuchus
⛏  pick
⛐  car sliding
⛑  helmet with white cross
⛒  circled crossing lanes
⛓  chains
⛔  no entry
⛕  alternate one-way left way traffic
⛖  black two-way left way traffic
⛗  white two-way left way traffic
⛘  black left lane merge
⛙  white left lane merge
⛚  drive slow sign
⛛  heavy white down-pointing triangle
⛜  left closed entry
⛝  squared saltire
⛞  falling diagonal in white circle in black square
⛟  black truck
⛠  restricted left entry-1
⛡  restricted left entry-2
⛢  astronomical symbol for uranus
⛣  heavy circle with stroke and two dots above
⛤  pentagram
⛥  right-handed interlaced pentagram
⛦  left-handed interlaced pentagram
⛧  inverted pentagram
⛨  black cross on shield
⛩  shinto shrine
⛪  church
⛫  castle
⛬  historic site
⛭  gear without hub
⛮  gear with handles
⛯  map symbol for lighthouse
⛰  mountain
⛱  umbrella on ground
⛲  fountain
⛳  golf (flag in hole)
⛴  ferry
⛵  sailboat
⛶  square four corners
⛷  skier
⛸  ice skate
⛹  person with ball
⛺  tent
⛻  japanese bank symbol
⛼  headstone graveyard symbol
⛽  fuel pump
⛾  cup on black square
⛿  white flag with horizontal middle black stripe
✀  black safety scissors
✁  upper blade scissors
✂  black scissors
✃  lower blade scissors
✄  white scissors
✅  check (white heavy check mark)
✆  telephone location sign
✇  tape drive
✈  airplane (airplane)
✉  envelope
✊  raised fist
✋  raised hand (raised hand)
✌  peace (victory hand)
✍  writing (writing hand)
✎  lower right pencil
✏  pencil (pencil)
✐  upper right pencil
✑  white nib
✒  black nib
✓  check mark
✔  heavy check mark
✕  multiplication x
✖  heavy multiplication x
✗  ballot x
✘  heavy ballot x
✙  outlined greek cross
✚  heavy greek cross
✛  open centre cross
✜  heavy open centre cross
✝  latin cross
✞  shadowed white latin cross
✟  outlined latin cross
✠  maltese cross
✡  star of david
✢  four teardrop-spoked asterisk
✣  four balloon-spoked asterisk
✤  heavy four balloon-spoked asterisk
✥  four club-spoked asterisk
✦  black four pointed star
✧  white four pointed star
✨  sparkles (sparkles)
✩  stress outlined white star
✪  circled white star
✫  open centre black star
✬  black centre white star
✭  outlined black star
✮  heavy outlined black star
✯  pinwheel star
✰  shadowed white star
✱  heavy asterisk
✲  open centre asterisk
✳  eight spoked asterisk
✴  eight pointed black star
✵  eight pointed pinwheel star
✶  six pointed black star
✷  eight pointed rectilinear black star
✸  heavy eight pointed rectilinear black star
✹  twelve pointed black star
✺  sixteen pointed asterisk
✻  teardrop-spoked asterisk
✼  open centre teardrop-spoked asterisk
✽  heavy teardrop-spoked asterisk
✾  six petalled black and white florette
✿  black florette
❀  white florette
❁  eight petalled outlined black florette
❂  circled open centre eight pointed star
❃  heavy teardrop-spoked pinwheel asterisk
❄  snowflake (snowflake)
❅  tight trifoliate snowflake
❆  heavy chevron snowflake
❇  sparkle
❈  heavy sparkle
❉  balloon-spoked asterisk
❊  eight teardrop-spoked propeller asterisk
❋  heavy eight teardrop-spoked propeller asterisk
❌  X (cross mark)
❍  shadowed white circle
❎  negative squared cross mark
❏  lower right drop-shadowed white square
❐  upper right drop-shadowed white square
❑  lower right shadowed white square
❒  upper right shadowed white square
❓  question (black question mark ornament)
❔  white question mark ornament
❕  white exclamation mark ornament
❖  black diamond minus white x
❗  exclamation (heavy exclamation mark symbol)
❘  light vertical bar
❙  medium vertical bar
❚  heavy vertical bar
❛  heavy single turned comma quotation mark ornament
❜  heavy single comma quotation mark ornament
❝  heavy double turned comma quotation mark ornament
❞  heavy double comma quotation mark ornament
❟  heavy low single comma quotation mark ornament
❠  heavy low double comma quotation mark ornament
❡  curved stem paragraph sign ornament
❢  heavy exclamation mark ornament
❣  heavy heart exclamation mark ornament
❤  red heart (heavy black heart)
❥  rotated heavy black heart bullet
❦  floral heart
❧  rotated floral heart bullet
❨  medium left parenthesis ornament
❩  medium right parenthesis ornament
❪  medium flattened left parenthesis ornament
❫  medium flattened right parenthesis ornament
❬  medium left-pointing angle bracket ornament
❭  medium right-pointing angle bracket ornament
❮  heavy left-pointing angle quotation mark ornament
❯  heavy right-pointing angle quotation mark ornament
❰  heavy left-pointing angle bracket ornament
❱  heavy right-pointing angle bracket ornament
❲  light left tortoise shell bracket ornament
❳  light right tortoise shell bracket ornament
❴  medium left curly bracket ornament
❵  medium right curly bracket ornament
❶  dingbat negative circled digit one
❷  dingbat negative circled digit two
❸  dingbat negative circled digit three
❹  dingbat negative circled digit four
❺  dingbat negative circled digit five
❻  dingbat negative circled digit six
❼  dingbat negative circled digit seven
❽  dingbat negative circled digit eight
❾  dingbat negative circled digit nine
❿  dingbat negative circled number ten
➀  dingbat circled sans-serif digit one
➁  dingbat circled sans-serif digit two
➂  dingbat circled sans-serif digit three
➃  dingbat circled sans-serif digit four
➄  dingbat circled sans-serif digit five
➅  dingbat circled sans-serif digit six
➆  dingbat circled sans-serif digit seven
➇  dingbat circled sans-serif digit eight
➈  dingbat circled sans-serif digit nine
➉  dingbat circled sans-serif number ten
➊  dingbat negative circled sans-serif digit one
➋  dingbat negative circled sans-serif digit two
➌  dingbat negative circled sans-serif digit three
➍  dingbat negative circled sans-serif digit four
➎  dingbat negative circled sans-serif digit five
➏  dingbat negative circled sans-serif digit six
➐  dingbat negative circled sans-serif digit seven
➑  dingbat negative circled sans-serif digit eight
➒  dingbat negative circled sans-serif digit nine
➓  dingbat negative circled sans-serif number ten
➔  heavy wide-headed rightwards arrow
➕  heavy plus sign
➖  heavy minus sign
➗  heavy division sign
➘  heavy south east arrow
➙  heavy rightwards arrow
➚  heavy north east arrow
➛  drafting point rightwards arrow
➜  heavy round-tipped rightwards arrow
➝  triangle-headed rightwards arrow
➞  heavy triangle-headed rightwards arrow
➟  dashed triangle-headed rightwards arrow
➠  heavy dashed triangle-headed rightwards arrow
➡  black rightwards arrow
➢  three-d top-lighted rightwards arrowhead
➣  three-d bottom-lighted rightwards arrowhead
➤  black rightwards arrowhead
➥  heavy black curved downwards and rightwards arrow
➦  heavy black curved upwards and rightwards arrow
➧  squat black rightwards arrow
➨  heavy concave-pointed black rightwards arrow
➩  right-shaded white rightwards arrow
➪  left-shaded white rightwards arrow
➫  back-tilted shadowed white rightwards arrow
➬  front-tilted shadowed white rightwards arrow
➭  heavy lower right-shadowed white rightwards arrow
➮  heavy upper right-shadowed white rightwards arrow
➯  notched lower right-shadowed white rightwards arrow
➰  curly loop
➱  notched upper right-shadowed white rightwards arrow
➲  circled heavy white rightwards arrow
➳  white-feathered rightwards arrow
➴  black-feathered south east arrow
➵  black-feathered rightwards arrow
➶  black-feathered north east arrow
➷  heavy black-feathered south east arrow
➸  heavy black-feathered rightwards arrow
➹  heavy black-feathered north east arrow
➺  teardrop-barbed rightwards arrow
➻  heavy teardrop-shanked rightwards arrow
➼  wedge-tailed rightwards arrow
➽  heavy wedge-tailed rightwards arrow
➾  open-outlined rightwards arrow
➿  double curly loop
⌀  diameter sign
⌁  electric arrow
⌂  house
⌃  up arrowhead
⌄  down arrowhead
⌅  projective
⌆  perspective
⌇  wavy line
⌈  left ceiling
⌉  right ceiling
⌊  left floor
⌋  right floor
⌌  bottom right crop
⌍  bottom left crop
⌎  top right crop
⌏  top left crop
⌐  reversed not sign
⌑  square lozenge
⌒  arc
⌓  segment
⌔  sector
⌕  telephone recorder
⌖  position indicator
⌗  viewdata square
⌘  place of interest sign
⌙  turned not sign
⌚  watch (watch)
⌛  hourglass
⌜  top left corner
⌝  top right corner
⌞  bottom left corner
⌟  bottom right corner
⌠  top half integral
⌡  bottom half integral
⌢  frown
⌣  smile
⌤  up arrowhead between two horizontal bars
⌥  option key
⌦  erase to the right
⌧  x in a rectangle box
⌨  keyboard
〈  left-pointing angle bracket
〉  right-pointing angle bracket
⌫  erase to the left
⌬  benzene ring
⌭  cylindricity
⌮  all around-profile
⌯  symmetry
⌰  total runout
⌱  dimension origin
⌲  conical taper
⌳  slope
⌴  counterbore
⌵  countersink
⌶  apl functional symbol i-beam
⌷  apl functional symbol squish quad
⌸  apl functional symbol quad equal
⌹  apl functional symbol quad divide
⌺  apl functional symbol quad diamond
⌻  apl functional symbol quad jot
⌼  apl functional symbol quad circle
⌽  apl functional symbol circle stile
⌾  apl functional symbol circle jot
⌿  apl functional symbol slash bar
⍀  apl functional symbol backslash bar
⍁  apl functional symbol quad slash
⍂  apl functional symbol quad backslash
⍃  apl functional symbol quad less-than
⍄  apl functional symbol quad greater-than
⍅  apl functional symbol leftwards vane
⍆  apl functional symbol rightwards vane
⍇  apl functional symbol quad leftwards arrow
⍈  apl functional symbol quad rightwards arrow
⍉  apl functional symbol circle backslash
⍊  apl functional symbol down tack underbar
⍋  apl functional symbol delta stile
⍌  apl functional symbol quad down caret
⍍  apl functional symbol quad delta
⍎  apl functional symbol down tack jot
⍏  apl functional symbol upwards vane
⍐  apl functional symbol quad upwards arrow
⍑  apl functional symbol up tack overbar
⍒  apl functional symbol del stile
⍓  apl functional symbol quad up caret
⍔  apl functional symbol quad del
⍕  apl functional symbol up tack jot
⍖  apl functional symbol downwards vane
⍗  apl functional symbol quad downwards arrow
⍘  apl functional symbol quote underbar
⍙  apl functional symbol delta underbar
⍚  apl functional symbol diamond underbar
⍛  apl functional symbol jot underbar
⍜  apl functional symbol circle underbar
⍝  apl functional symbol up shoe jot
⍞  apl functional symbol quote quad
⍟  apl functional symbol circle star
⍠  apl functional symbol quad colon
⍡  apl functional symbol up tack diaeresis
⍢  apl functional symbol del diaeresis
⍣  apl functional symbol star diaeresis
⍤  apl functional symbol jot diaeresis
⍥  apl functional symbol circle diaeresis
⍦  apl functional symbol down shoe stile
⍧  apl functional symbol left shoe stile
⍨  apl functional symbol tilde diaeresis
⍩  apl functional symbol greater-than diaeresis
⍪  apl functional symbol comma bar
⍫  apl functional symbol del tilde
⍬  apl functional symbol zilde
⍭  apl functional symbol stile tilde
⍮  apl functional symbol semicolon underbar
⍯  apl functional symbol quad not equal
⍰  apl functional symbol quad question
⍱  apl functional symbol down caret tilde
⍲  apl functional symbol up caret tilde
⍳  apl functional symbol iota
⍴  apl functional symbol rho
⍵  apl functional symbol omega
⍶  apl functional symbol alpha underbar
⍷  apl functional symbol epsilon underbar
⍸  apl functional symbol iota underbar
⍹  apl functional symbol omega underbar
⍺  apl functional symbol alpha
⍻  not check mark
⍼  right angle with downwards zigzag arrow
⍽  shouldered open box
⍾  bell symbol
⍿  vertical line with middle dot
⎀  insertion symbol
⎁  continuous underline symbol
⎂  discontinuous underline symbol
⎃  emphasis symbol
⎄  composition symbol
⎅  white square with centre vertical line
⎆  enter symbol
⎇  alternative key symbol
⎈  helm symbol
⎉  circled horizontal bar with notch
⎊  circled triangle down
⎋  broken circle with northwest arrow
⎌  undo symbol
⎍  monostable symbol
⎎  hysteresis symbol
⎏  open-circuit-output h-type symbol
⎐  open-circuit-output l-type symbol
⎑  passive-pull-down-output symbol
⎒  passive-pull-up-output symbol
⎓  direct current symbol form two
⎔  software-function symbol
⎕  apl functional symbol quad
⎖  decimal separator key symbol
⎗  previous page
⎘  next page
⎙  print screen symbol
⎚  clear screen symbol
⎛  left parenthesis upper hook
⎜  left parenthesis extension
⎝  left parenthesis lower hook
⎞  right parenthesis upper hook
⎟  right parenthesis extension
⎠  right parenthesis lower hook
⎡  left square bracket upper corner
⎢  left square bracket extension
⎣  left square bracket lower corner
⎤  right square bracket upper corner
⎥  right square bracket extension
⎦  right square bracket lower corner
⎧  left curly bracket upper hook
⎨  left curly bracket middle piece
⎩  left curly bracket lower hook
⎪  curly bracket extension
⎫  right curly bracket upper hook
⎬  right curly bracket middle piece
⎭  right curly bracket lower hook
⎮  integral extension
⎯  horizontal line extension
⎰  upper left or lower right curly bracket section
⎱  upper right or lower left curly bracket section
⎲  summation top
⎳  summation bottom
⎴  top square bracket
⎵  bottom square bracket
⎶  bottom square bracket over top square bracket
⎷  radical symbol bottom
⎸  left vertical box line
⎹  right vertical box line
⎺  horizontal scan line-1
⎻  horizontal scan line-3
⎼  horizontal scan line-7
⎽  horizontal scan line-9
⎾  dentistry symbol light vertical and top right
⎿  dentistry symbol light vertical and bottom right
⏀  dentistry symbol light vertical with circle
⏁  dentistry symbol light down and horizontal with circle
⏂  dentistry symbol light up and horizontal with circle
⏃  dentistry symbol light vertical with triangle
⏄  dentistry symbol light down and horizontal with triangle
⏅  dentistry symbol light up and horizontal with triangle
⏆  dentistry symbol light vertical and wave
⏇  dentistry symbol light down and horizontal with wave
⏈  dentistry symbol light up and horizontal with wave
⏉  dentistry symbol light down and horizontal
⏊  dentistry symbol light up and horizontal
⏋  dentistry symbol light vertical and top left
⏌  dentistry symbol light vertical and bottom left
⏍  square foot
⏎  return symbol
⏏  eject symbol
⏐  vertical line extension
⏑  metrical breve
⏒  metrical long over short
⏓  metrical short over long
⏔  metrical long over two shorts
⏕  metrical two shorts over long
⏖  metrical two shorts joined
⏗  metrical triseme
⏘  metrical tetraseme
⏙  metrical pentaseme
⏚  earth ground
⏛  fuse
⏜  top parenthesis
⏝  bottom parenthesis
⏞  top curly bracket
⏟  bottom curly bracket
⏠  top tortoise shell bracket
⏡  bottom tortoise shell bracket
⏢  white trapezium
⏣  benzene ring with circle
⏤  straightness
⏥  flatness
⏦  ac current
⏧  electrical intersection
⏨  decimal exponent symbol
⏩  black right-pointing double triangle
⏪  black left-pointing double triangle
⏫  black up-pointing double triangle
⏬  black down-pointing double triangle
⏭  black right-pointing double triangle with vertical bar
⏮  black left-pointing double triangle with vertical bar
⏯  black right-pointing triangle with double vertical bar
⏰  alarm (alarm clock)
⏱  stopwatch
⏲  timer clock
⏳  hourglass with flowing sand
⏴  black medium left-pointing triangle
⏵  black medium right-pointing triangle
⏶  black medium up-pointing triangle
⏷  black medium down-pointing triangle
⏸  double vertical bar
⏹  black square for stop
⏺  black circle for record
⏻  power symbol
⏼  power on-off symbol
⏽  power on symbol
⏾  power sleep symbol
⏿  observer eye symbol
